Month Year IPv4 IPv6
01 2014 181 116
02 2014 178 116
03 2014 176 115
04 2014 186 120
05 2014 191 121
06 2014 195 121
07 2014 204 128
08 2014 206 128
09 2014 213 135
10 2014 209 134
11 2014 209 135
12 2014 144 107
01 2015 208 133
02 2015 202 134
03 2015 207 137
04 2015 211 139
05 2015 218 142
06 2015 215 143
07 2015 217 142
08 2015 218 142
09 2015 200 134
10 2015 195 131
11 2015 217 142
12 2015 157 123
01 2016 231 153
02 2016 246 168
03 2016 248 169
04 2016 255 184
05 2016 254 186
06 2016 252 186
07 2016 255 191
08 2016 256 187
09 2016 252 186
10 2016 251 185
11 2016 266 194
12 2016 228 197
01 2017 264 192
02 2017 260 190
03 2017 265 189
04 2017 256 179
05 2017 264 184
06 2017 268 186
07 2017 267 190
08 2017 269 189
09 2017 265 189
10 2017 264 188
11 2017 271 189
12 2017 237 199
01 2018 271 191
02 2018 282 197
03 2018 276 196
04 2018 278 184
05 2018 287 183
06 2018 263 167
07 2018 299 195
08 2018 305 200
09 2018 303 201
10 2018 312 208
11 2018 291 207
12 2018 291 231
01 2019 320 225
02 2019 315 223
03 2019 289 209
04 2019 335 239
05 2019 330 233
06 2019 322 228
07 2019 348 252
08 2019 349 256
09 2019 337 251
10 2019 327 245
11 2019 342 256
12 2019 293 244
01 2020 352 233
02 2020 353 258
03 2020 355 271
04 2020 365 275
05 2020 366 276
06 2020 364 284
07 2020 371 288
08 2020 380 297
09 2020 389 310
10 2020 394 313
11 2020 404 318
12 2020 356 304
01 2021 419 327
02 2021 431 341
03 2021 432 346
04 2021 436 350
05 2021 445 349
06 2021 439 350
07 2021 428 343
08 2021 436 357
09 2021 444 377
10 2021 468 385
11 2021 476 390
12 2021 474 409
01 2022 469 390
02 2022 487 369
03 2022 445 372
04 2022 485 402
05 2022 477 398
06 2022 462 385
07 2022 413 341
08 2022 476 390
09 2022 501 416
10 2022 511 425
11 2022 502 404
12 2022 505 451
01 2023 507 424
02 2023 496 425
03 2023 494 425
04 2023 518 437
05 2023 526 446
06 2023 532 455
07 2023 552 467
08 2023 561 475
09 2023 562 473
10 2023 568 482
11 2023 576 486
12 2023 510 450
01 2024 587 490
02 2024 537 444
03 2024 585 494
04 2024 584 493
05 2024 607 522
06 2024 659 579
07 2024 687 605
08 2024 715 629
09 2024 719 638
10 2024 770 673
11 2024 775 654
12 2024 699 639
