Month Year IPv4 IPv6
01 2014 59976192 1397132
02 2014 59047073 1423118
03 2014 61702604 1435351
04 2014 65613921 1577003
05 2014 66722124 1598849
06 2014 67594492 1528376
07 2014 69782199 1635485
08 2014 72379576 1712076
09 2014 77213531 1915564
10 2014 74805705 1898718
11 2014 76080166 2005675
12 2014 21016228 586945
01 2015 74406940 2068268
02 2015 72596279 2064661
03 2015 73847424 2180196
04 2015 76864494 2270003
05 2015 79572436 2311554
06 2015 79995430 2308680
07 2015 81726676 2418143
08 2015 81723904 2434514
09 2015 76779641 2343335
10 2015 75455446 2319507
11 2015 84480316 2640732
12 2015 23139813 884521
01 2016 93953903 3000437
02 2016 96336505 3214156
03 2016 98556197 3305912
04 2016 100898648 3705945
05 2016 99466710 3769801
06 2016 102039414 3937603
07 2016 106623066 4227467
08 2016 103496195 4090063
09 2016 106659284 4377284
10 2016 106947306 4436861
11 2016 108899193 4451153
12 2016 28241895 1626750
01 2017 110013717 4298290
02 2017 109504177 4643151
03 2017 111937082 4792906
04 2017 108551150 4702796
05 2017 110312602 4937288
06 2017 112060719 5063016
07 2017 110228368 5171512
08 2017 112995944 5323139
09 2017 111553506 5448735
10 2017 112932862 5531494
11 2017 115779847 5721371
12 2017 29058412 1507191
01 2018 115791181 5955783
02 2018 104764539 6441181
03 2018 116472342 6453805
04 2018 108909043 6261568
05 2018 113321016 6222008
06 2018 109042130 5896371
07 2018 120777840 7134629
08 2018 122864444 7298455
09 2018 121892839 7457958
10 2018 126963484 8036966
11 2018 133331560 8396098
12 2018 40543110 3158071
01 2019 141807185 9418466
02 2019 141557695 9509265
03 2019 135754417 8957536
04 2019 147417392 9862679
05 2019 145586652 9902152
06 2019 144642331 9819170
07 2019 157587703 11202117
08 2019 157896164 11623227
09 2019 157376749 12074902
10 2019 155077970 11803300
11 2019 166757544 13044843
12 2019 53300090 4426223
01 2020 173241605 12297129
02 2020 172986213 13388784
03 2020 175811539 14232828
04 2020 177246387 14564536
05 2020 175922024 15289167
06 2020 181442971 16331309
07 2020 180608204 16608825
08 2020 183091889 17192848
09 2020 191894964 18786216
10 2020 192001792 19196076
11 2020 195411133 19585670
12 2020 64383828 7131368
01 2021 206942250 20992444
02 2021 207756626 21747775
03 2021 207894350 21913992
04 2021 209697551 22691659
05 2021 214123472 24105507
06 2021 210503028 24891087
07 2021 208763938 25017747
08 2021 216037424 27021280
09 2021 205775183 27535903
10 2021 226678975 29053631
11 2021 229986387 29782663
12 2021 83230846 12163506
01 2022 228852440 30258948
02 2022 231547889 28304376
03 2022 220822467 29595413
04 2022 241286369 32266185
05 2022 240736127 33088717
06 2022 236516085 33296363
07 2022 215802061 30525399
08 2022 246375190 34473656
09 2022 238338966 34280299
10 2022 242175734 35405557
11 2022 216488174 33174519
12 2022 116171697 18644459
01 2023 235621010 36160547
02 2023 225650476 36644097
03 2023 226722670 37387823
04 2023 232598158 38813244
05 2023 254561656 42746459
06 2023 260084827 44689195
07 2023 273083697 46699338
08 2023 275219622 47051683
09 2023 280297462 48744318
10 2023 284498732 51113308
11 2023 283971221 50512254
12 2023 102806999 19779172
01 2024 284149695 51462442
02 2024 261532247 46529005
03 2024 274324155 51438804
04 2024 276552721 51630755
05 2024 281828510 54796011
06 2024 294693259 58508592
07 2024 298765623 60330333
08 2024 303817614 62730028
09 2024 313447419 66104195
10 2024 306873148 64358074
11 2024 303329139 62120507
12 2024 126472038 25895888
